abkh1242,Abkhaz-Adyge
afro1255,Afro-Asiatic
atha1245,Athabaskan-Eyak-Tlingit
atla1278,Atlantic-Congo
aust1305,Austroasiatic
aust1307,Austronesian
basq1248,Basque
cent2225,Central Sudanic
drav1251,Dravidian
ijoi1239,Ijoid
indo1319,Indo-European
kaku1242,Kakua-Nukak
krua1234,Kru
mand1469,Mande
nakh1245,Nakh-Daghestanian
nucl1708,Nuclear Torricelli
sali1255,Salishan
sino1245,Sino-Tibetan
siou1252,Siouan
turk1311,Turkic
ural1272,Uralic
