Language,Ethnologue Code,iso_6393,glottocode,name,level,macroarea,latitude,longitude,id,family_id,parent_id,bookkeeping,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
"Bicolano, Albay",BHK,bhk,alba1269,Inland-Buhi-Daraga Bikol,language,Papunesia,13.1989,123.49,alba1269,aust1307,inla1266,FALSE,bhk,NA,NA,0,0,5,PH
"Bicolano, Central",BCL,bcl,cent2087,Coastal-Naga Bikol,language,Papunesia,13.7574,123.403,cent2087,aust1307,coas1315,FALSE,bcl,NA,NA,0,0,2,PH
Berom,BOM,bom,bero1242,Berom,language,Africa,9.67037,8.81221,bero1242,atla1278,iten1244,FALSE,bom,NA,NA,0,0,8,NG
Bruu,BRV,brv,west2397,Western Bru,language,Eurasia,16.4906,104.754,west2397,aust1305,west2870,FALSE,brv,NA,NA,0,0,0,LA TH
Bukiyip (Mountain Arapesh),APE,ape,buki1249,Bukiyip,language,Papunesia,-3.47169,143.111,buki1249,nucl1708,buki1250,FALSE,ape,NA,NA,0,0,2,PG
Bulgarian,BUL,bul,bulg1262,Bulgarian,language,Eurasia,43.3646,25.047,bulg1262,indo1319,mace1252,FALSE,bul,NA,NA,0,0,22,BG GR MD MK RO RS TR UA
Bura-Pabir,BWR,bwr,bura1292,Bura-Pabir,language,Africa,10.4822,12.3007,bura1292,afro1255,bura1297,FALSE,bwr,NA,NA,0,0,3,NG
Burarra,BVR,bvr,bura1267,Burarra,language,Australia,-12.3061,134.365,bura1267,mani1293,bure1238,FALSE,bvr,NA,NA,0,0,3,AU
Burmese,MYA,mya,nucl1310,Burmese,language,Eurasia,20.7926,93.9665,nucl1310,sino1245,nucl1811,FALSE,mya,NA,NA,0,0,3,BD MM TH
Buryat,BXM,bxm,mong1330,Mongolia Buriat,language,Eurasia,48.7686,109.005,mong1330,mong1349,buri1258,FALSE,bxm,NA,NA,0,0,2,CN MN RU
Cacua,CBV,cbv,cacu1241,Kakua,language,South America,0.88778,-69.5659,cacu1241,kaku1242,kaku1242,FALSE,cbv,NA,NA,0,0,2,CO
Cama,EBR,ebr,ebri1238,Ebrié,language,Africa,5.36868,-4.03188,ebri1238,atla1278,poto1250,FALSE,ebr,NA,NA,0,0,0,CI
Catalan,CAT,cat,stan1289,Catalan,language,Eurasia,41.453,1.569,stan1289,indo1319,sout3183,FALSE,cat,NA,NA,0,0,23,AD ES FR IT
Cebuano,CEB,ceb,cebu1242,Cebuano,language,Papunesia,8.38799,124.367,cebu1242,aust1307,bisa1268,FALSE,ceb,NA,NA,0,0,4,PH
Chamalal,CJI,cji,cham1309,Chamalal,language,Eurasia,42.5024,45.995,cham1309,nakh1245,andi1254,FALSE,cji,NA,NA,0,0,4,RU
Chamorro,CHA,cha,cham1312,Chamorro,language,Papunesia,13.438011,144.74474,cham1312,aust1307,mala1545,FALSE,cha,NA,NA,0,0,2,GU MP
Chechen,CHE,che,chec1245,Chechen,language,Eurasia,43.5,45.5,chec1245,nakh1245,chec1244,FALSE,che,NA,NA,0,0,3,GE KZ RU
Cherepon,CPN,cpn,cher1271,Cherepon,language,Africa,6.05387,-0.10955,cher1271,atla1278,guac1241,FALSE,cpn,NA,NA,0,0,0,GH
Chickasaw,CIC,cic,chic1270,Chickasaw,language,North America,34,-88,chic1270,musk1252,west2614,FALSE,cic,NA,NA,0,0,0,US
"Chinantec, Ozumacín",CHZ,chz,ozum1235,Ozumacín Chinantec,language,North America,17.6976,-96.2249,ozum1235,otom1299,chin1485,FALSE,chz,NA,NA,0,0,1,MX
"Chinantec, Palantla",CPA,cpa,pala1351,Palantla Chinantec,language,North America,17.884,-96.3407,pala1351,otom1299,chin1487,FALSE,cpa,NA,NA,0,0,0,MX
"Chinese, Cantonese",YUE,yue,yuec1235,Yue Chinese,language,Eurasia,23,113,yuec1235,sino1245,yuep1234,FALSE,yue,NA,NA,0,0,22,CN VN
"Chinese, Hakka",HAK,hak,hakk1236,Hakka Chinese,language,Eurasia,25,116,hakk1236,sino1245,midd1354,FALSE,hak,NA,NA,0,0,21,CN TW
"Chinese, Mandarin",CMN,cmn,mand1415,Mandarin Chinese,language,Eurasia,40.0209,116.228,mand1415,sino1245,mand1471,FALSE,cmn,NA,NA,0,0,31,CN KP LA MM MN RU TW VN
"Chinese, Min Nan",NAN,nan,minn1241,Min Nan Chinese,language,Eurasia,24.5,118.17,minn1241,sino1245,coas1318,FALSE,nan,NA,NA,0,0,23,CN TW
"Chinese, Wu",WUU,wuu,wuch1236,Wu Chinese,language,Eurasia,29.8621,119.682,wuch1236,sino1245,wuhu1234,FALSE,wuu,NA,NA,0,0,29,CN
Chong,COG,cog,chon1284,Chong of Chanthaburi,language,Eurasia,12.5218,102.514,chon1284,aust1305,west2394,FALSE,cog,NA,NA,0,0,0,KH TH
Columbia-Wenatchi,COL,col,colu1241,Columbia-Wenatchi,language,North America,48.217,-118.454,colu1241,sali1255,sout1559,FALSE,col,NA,NA,0,0,2,US
Comanche,COM,com,coma1245,Comanche,language,North America,34,-101,coma1245,utoa1244,cent2130,FALSE,com,NA,NA,0,0,0,US
Croatian,HRV,hrv,croa1245,Croatian Standard,dialect,Eurasia,45.555,15.982,croa1245,indo1319,east2821,FALSE,hrv,NA,NA,0,0,0,AT BA HR HU IT ME RS SI
Crow,CRO,cro,crow1244,Crow,language,North America,45.368,-107.874,crow1244,siou1252,miss1252,FALSE,cro,NA,NA,0,0,0,US
Cuyonon,CYO,cyo,cuyo1237,Cuyonon,language,Papunesia,10.3201,119.3,cuyo1237,aust1307,kuya1251,FALSE,cyo,NA,NA,0,0,0,PH
Czech,CES,ces,czec1258,Czech,language,Eurasia,49.873398,15.10437,czec1258,indo1319,czec1260,FALSE,ces,NA,NA,0,0,10,AT CZ PL SK
Dagbani,DAG,dag,dagb1246,Dagbani,language,Africa,9.64745,-0.43227,dagb1246,atla1278,mamp1246,FALSE,dag,NA,NA,0,0,1,GH TG
Dahalo,DAL,dal,daha1245,Dahalo,language,Africa,-2.1843,40.37,daha1245,afro1255,east2699,FALSE,dal,NA,NA,0,0,0,KE
"Danghu, Wangurri",DHG,dhg,dhan1270,Dhangu,language,Australia,-11.9493,135.752,dhan1270,pama1250,sout3149,FALSE,dhg,NA,NA,0,0,6,AU
Danish,DAN,dan,dani1285,Danish,language,Eurasia,54.8655,9.36284,dani1285,indo1319,sout3248,FALSE,dan,NA,NA,0,0,8,DE DK FO GL
Defaka,AFN,afn,defa1248,Defaka,language,Africa,4.58451,7.50186,defa1248,ijoi1239,ijoi1239,FALSE,afn,NA,NA,0,0,0,NG
Degema,DEG,deg,dege1246,Degema,language,Africa,4.73373,6.80991,dege1246,atla1278,dege1249,FALSE,deg,NA,NA,0,0,2,NG
Diriku (Rugciriku),DIU,diu,diri1252,Diriku-Shambyu,language,Africa,-18.1681,20.6678,diri1252,atla1278,kwan1288,FALSE,diu,NA,NA,0,0,2,AO BW NA
Dutch,NLD,nld,dutc1256,Dutch,language,Eurasia,52,5,dutc1256,indo1319,glob1241,FALSE,nld,NA,NA,0,0,17,AW BE BQ BR CW DE GF GY NL SR SX
Ebira,IGB,igb,ebir1243,Ebira,language,Africa,8.15516,7.06183,ebir1243,atla1278,ebir1244,FALSE,igb,NA,NA,0,0,3,NG
Edo,BIN,bin,bini1246,Bini,language,Africa,6.40701,5.70426,bini1246,atla1278,cent2259,FALSE,bin,NA,NA,0,0,0,NG
Efik,EFI,efi,efik1245,Efik,language,Africa,4.89379,8.38121,efik1245,atla1278,efik1244,FALSE,efi,NA,NA,0,0,0,CM NG
Emai-luleha-Ora,EMA,ema,emai1241,Emai-Iuleha-Ora,language,Africa,7.09089,5.84494,emai1241,atla1278,emai1243,FALSE,ema,NA,NA,0,0,4,NG
English,ENG,eng,stan1293,English,language,Eurasia,53,-1,stan1293,indo1319,macr1271,FALSE,eng,NA,NA,0,0,114,AU BM BR BZ CA CC CK CU CX DO FK GB GG GI GP GS GT GY HN IE IM IO JE KY LR MX NF PN SH SR UM US VE ZA
Estonian,EST,est,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ewe,EWE,ewe,ewee1241,Ewe,language,Africa,6.46061,0.814975,ewee1241,atla1278,ewei1234,FALSE,ewe,NA,NA,0,0,11,GH TG
"Farsi, Eastern",PRS,prs,dari1249,Dari,language,Eurasia,31.0405,67.3593,dari1249,indo1319,east2745,FALSE,prs,NA,NA,0,0,2,AF IR PK TJ TM
"Farsi, Western",PES,pes,west2369,Western Farsi,language,Eurasia,32.9,53.3,west2369,indo1319,fars1255,FALSE,pes,NA,NA,0,0,63,AF AZ IQ IR TM TR
Finnish,FIN,fin,finn1318,Finnish,language,Eurasia,64.7628,25.5577,finn1318,ural1272,nucl1717,FALSE,fin,NA,NA,0,0,7,EE FI NO RU SE
French,FRA,fra,stan1290,French,language,Eurasia,48,2,stan1290,indo1319,glob1239,FALSE,fra,NA,NA,0,0,20,AD BE CA CH FR GF IT LU MC PM TF US
"Fulfulde, Adamawa",FUB,fub,adam1253,Adamawa Fulfulde,language,Africa,8.140326,13.077338,adam1253,atla1278,adam1260,FALSE,fub,NA,NA,0,0,6,CM ER ET NG SD TD
"Fulfulde, Maasina",FFM,ffm,maas1239,Maasina Fulfulde,language,Africa,11.1324,-3.64763,maas1239,atla1278,fula1264,FALSE,ffm,NA,NA,0,0,2,BF CI GH ML MR NE
"Fulfulde, Nigerian dialect",FUV,fuv,nige1253,Hausa States Fulfulde,language,Africa,10.9972,11.1188,nige1253,atla1278,fula1265,FALSE,fuv,NA,NA,0,0,5,CM NG TD
"Fulfulde, Western Niger",FUH,fuh,west2454,Western Niger Fulfulde,language,Africa,14.2471,-0.52004,west2454,atla1278,fula1264,FALSE,fuh,NA,NA,0,0,12,BF BJ ML NE NG
Gã,GAA,gaa,gaaa1244,Ga,language,Africa,5.65488,-0.18598,gaaa1244,atla1278,gada1257,FALSE,gaa,NA,NA,0,0,0,GH
"Gaelic, Irish",GLE,gle,iris1253,Irish,language,Eurasia,53.2186,-7.61509,iris1253,indo1319,mode1265,FALSE,gle,NA,NA,0,0,3,GB IE
"Gaelic, Scottish",GLA,gla,scot1245,Scottish Gaelic,language,Eurasia,56.7574,-5.24366,scot1245,indo1319,east2734,FALSE,gla,NA,NA,0,0,2,GB
Ganda,LUG,lug,gand1255,Ganda,language,Africa,0.66884,32.15153,gand1255,atla1278,nort3220,FALSE,lug,NA,NA,0,0,4,UG
Georgian,KAT,kat,nucl1302,Georgian,language,Eurasia,41.850397,43.78613,nucl1302,kart1248,geor1253,FALSE,kat,NA,NA,0,0,27,AM AZ GE IR RU TR
"German, Standard",DEU,deu,stan1295,German,language,Eurasia,48.649,12.4676,stan1295,indo1319,glob1243,FALSE,deu,NA,NA,0,0,3,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK
Gikuyu,KIK,kik,kiku1240,Kikuyu,language,Africa,-0.29005,36.719,kiku1240,atla1278,giku1234,FALSE,kik,NA,NA,0,0,5,KE
Gimi,GIM,gim,gimi1243,Gimi (Eastern Highlands),language,Papunesia,-6.42097,145.214,gimi1243,nucl1709,fore1273,FALSE,gim,NA,NA,0,0,2,PG
Greek,ELL,ell,mode1248,Modern Greek,language,Eurasia,38.36,23.13,mode1248,indo1319,nucl1783,FALSE,ell,NA,NA,0,0,30,AL BG CY EG GR IT MK RO TR UA
"Gua, Anum",GWX,gwx,guaa1238,Gua,language,Africa,6.52106,0.16932,guaa1238,atla1278,guac1241,FALSE,gwx,NA,NA,0,0,2,GH
"Guarani, Paraguayan",GUG,gug,para1311,Paraguayan Guaraní,language,South America,-25.60551,-57.08816,para1311,tupi1275,para1319,FALSE,gug,NA,NA,0,0,3,AR PY
Guguyimidjir,KKY,kky,gugu1255,Guugu Yimidhirr,language,Australia,-14.9424,144.831,gugu1255,pama1250,yimi1234,FALSE,kky,NA,NA,0,0,0,AU
Gujarati,GUJ,guj,guja1252,Gujarati,language,Eurasia,22.687,71.0962,guja1252,indo1319,guja1256,FALSE,guj,NA,NA,0,0,6,BD IN PK
Gumatj,GNN,gnn,guma1253,Gumatj,language,Australia,-12.25254,136.83042,guma1253,pama1250,west2439,FALSE,gnn,NA,NA,0,0,1,AU
Gunwinggu (Kunwinjku),GUP,gup,gunw1252,Bininj Kun-Wok,language,Australia,-12.3398,133.358,gunw1252,gunw1250,gunw1250,FALSE,gup,NA,NA,0,0,8,AU
Gurdjar (Kurtjar),GDJ,gdj,gurd1238,Gurdjar,language,Australia,-17.1653,141.145,gurd1238,pama1250,ribg1235,FALSE,gdj,NA,NA,0,0,0,AU
Hadza,HTS,hts,hadz1240,Hadza,language,Africa,-3.83115,35.0458,hadz1240,NA,NA,FALSE,hts,NA,NA,0,0,0,TZ
Hani,HNI,hni,hani1248,Hani,language,Eurasia,22.67753,102.851673333,hani1248,sino1245,haya1251,FALSE,hni,NA,NA,0,0,9,CN LA VN
